GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_MOE_VC09,Total; Margin of Error; Population for whom poverty status is determined - SEX - Female
HC02_EST_VC09,Below poverty level; Estimate; Population for whom poverty status is determined - SEX - Female
HC02_MOE_VC09,Below poverty level; Margin of Error; Population for whom poverty status is determined - SEX - Female
HC03_EST_VC09,Percent  below poverty level; Estimate; Population for whom poverty status is determined - SEX - Female
HC03_MOE_VC09,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - SEX - Female
HC01_EST_VC11,Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_MOE_VC11,Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_EST_VC11,Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_MOE_VC11,Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_EST_VC11,Percent  below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_MOE_VC11,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_EST_VC12,Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_MOE_VC12,Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_EST_VC12,Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_MOE_VC12,Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_EST_VC12,Percent  below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_MOE_VC12,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_EST_VC13,Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_MOE_VC13,Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_EST_VC13,Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_MOE_VC13,Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_EST_VC13,Percent  below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_MOE_VC13,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_EST_VC14,Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_MOE_VC14,Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_EST_VC14,Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_MOE_VC14,Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_EST_VC14,Percent  below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_MOE_VC14,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_EST_VC15,Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_MOE_VC15,Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_EST_VC15,Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_MOE_VC15,Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_EST_VC15,Percent  below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_MOE_VC15,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_EST_VC16,Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_MOE_VC16,Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_EST_VC16,Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_MOE_VC16,Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_EST_VC16,Percent  below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_MOE_VC16,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_EST_VC17,Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_MOE_VC17,Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_EST_VC17,Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_MOE_VC17,Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_EST_VC17,Percent  below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_MOE_VC17,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_EST_VC18,Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC18,Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_EST_VC18,Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_MOE_VC18,Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_EST_VC18,Percent  below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_MOE_VC18,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_EST_VC19,Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC01_MOE_VC19,Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC02_EST_VC19,Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC02_MOE_VC19,Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC03_EST_VC19,Percent  below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC03_MOE_VC19,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC01_EST_VC20,"Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_MOE_VC20,"Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC02_EST_VC20,"Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC02_MOE_VC20,"Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_EST_VC20,"Percent  below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_MOE_VC20,"Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_EST_VC22,Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
HC01_MOE_VC22,Total; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
HC02_EST_VC22,Below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
HC02_MOE_VC22,Below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
HC03_EST_VC22,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
HC03_MOE_VC22,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
HC01_EST_VC23,Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
HC01_MOE_VC23,Total; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
HC02_EST_VC23,Below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
HC02_MOE_VC23,Below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
HC03_EST_VC23,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
HC03_MOE_VC23,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
HC01_EST_VC24,Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
HC01_MOE_VC24,Total; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
HC02_EST_VC24,Below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
HC02_MOE_VC24,Below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
HC03_EST_VC24,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
HC03_MOE_VC24,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
HC01_EST_VC25,"Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
HC01_MOE_VC25,"Total; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
HC02_EST_VC25,"Below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
HC02_MOE_VC25,"Below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
HC03_EST_VC25,"Percent  below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
HC03_MOE_VC25,"Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
HC01_EST_VC26,Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
HC01_MOE_VC26,Total; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
HC02_EST_VC26,Below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
HC02_MOE_VC26,Below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
HC03_EST_VC26,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
HC03_MOE_VC26,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
HC01_EST_VC28,Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
HC01_MOE_VC28,Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
HC02_EST_VC28,Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
HC02_MOE_VC28,Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
HC03_EST_VC28,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
HC03_MOE_VC28,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
HC01_EST_VC29,Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
HC01_MOE_VC29,Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
HC02_EST_VC29,Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
HC02_MOE_VC29,Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
HC03_EST_VC29,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
HC03_MOE_VC29,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
HC01_EST_VC30,Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
HC01_MOE_VC30,Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
HC02_EST_VC30,Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
HC02_MOE_VC30,Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
HC03_EST_VC30,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
HC03_MOE_VC30,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
HC01_EST_VC31,Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
HC01_MOE_VC31,Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
HC02_EST_VC31,Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
HC02_MOE_VC31,Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
HC03_EST_VC31,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
HC03_MOE_VC31,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
HC01_EST_VC32,Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
HC01_MOE_VC32,Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
HC02_EST_VC32,Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
HC02_MOE_VC32,Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
HC03_EST_VC32,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
HC03_MOE_VC32,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
HC01_EST_VC33,Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
HC01_MOE_VC33,Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
HC02_EST_VC33,Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
HC02_MOE_VC33,Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
HC03_EST_VC33,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
HC03_MOE_VC33,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Male
HC01_EST_VC34,Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
HC01_MOE_VC34,Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
HC02_EST_VC34,Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
HC02_MOE_VC34,Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
HC03_EST_VC34,Percent  below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
HC03_MOE_VC34,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed - Female
HC01_EST_VC36,Total; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
HC01_MOE_VC36,Total; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
HC02_EST_VC36,Below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
HC02_MOE_VC36,Below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
HC03_EST_VC36,Percent  below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
HC03_MOE_VC36,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
HC01_EST_VC37,"Total; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
HC01_MOE_VC37,"Total; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
HC02_EST_VC37,"Below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
HC02_MOE_VC37,"Below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
HC03_EST_VC37,"Percent  below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
HC03_MOE_VC37,"Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked full-time, year-round in the past 12 months"
HC01_EST_VC38,Total; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
HC01_MOE_VC38,Total; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
HC02_EST_VC38,Below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
HC02_MOE_VC38,Below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
HC03_EST_VC38,Percent  below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
HC03_MOE_VC38,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Worked part-time or part-year in the past 12 months
HC01_EST_VC39,Total; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
HC01_MOE_VC39,Total; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
HC02_EST_VC39,Below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
HC02_MOE_VC39,Below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
HC03_EST_VC39,Percent  below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
HC03_MOE_VC39,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over - Did not work
HC01_EST_VC41,Total; Estimate; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
HC01_MOE_VC41,Total; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
HC02_EST_VC41,Below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
HC02_MOE_VC41,Below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
HC03_EST_VC41,Percent  below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
HC03_MOE_VC41,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 50 percent of poverty level
HC01_EST_VC42,Total; Estimate; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
HC01_MOE_VC42,Total; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
HC02_EST_VC42,Below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
HC02_MOE_VC42,Below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
HC03_EST_VC42,Percent  below poverty level; Estimate; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
HC03_MOE_VC42,Percent  below poverty level; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 125 percent of poverty level
HC01_EST_VC43,Total; Estimate; Population for whom poverty status is determined - All Individuals below: - 150 percent of poverty level
HC01_MOE_VC43,Total; Margin of Error; Population for whom poverty status is determined - All Individuals below: - 150 percent of poverty level
