GEO.id,GEO.id2,GEO.display-label,HC02_VC01,HC03_VC01,HC04_VC01,HC02_VC02,HC03_VC02,HC04_VC02,HC02_VC03,HC03_VC03,HC04_VC03,HC02_VC04,HC03_VC04,HC04_VC04,HC02_VC05,HC03_VC05,HC04_VC05,HC02_VC06,HC03_VC06,HC04_VC06,HC02_VC07,HC03_VC07,HC04_VC07,HC02_VC08,HC03_VC08,HC04_VC08,HC02_VC09,HC03_VC09,HC04_VC09,HC02_VC10,HC03_VC10,HC04_VC10,HC02_VC11,HC03_VC11,HC04_VC11,HC02_VC12,HC03_VC12,HC04_VC12,HC02_VC13,HC03_VC13,HC04_VC13,HC02_VC14,HC03_VC14,HC04_VC14,HC02_VC15,HC03_VC15,HC04_VC15,HC02_VC16,HC03_VC16,HC04_VC16,HC02_VC17,HC03_VC17,HC04_VC17,HC02_VC18,HC03_VC18,HC04_VC18,HC02_VC19,HC03_VC19,HC04_VC19,HC02_VC20,HC03_VC20,HC04_VC20,HC02_VC21,HC03_VC21,HC04_VC21,HC02_VC22,HC03_VC22,HC04_VC22,HC02_VC23,HC03_VC23,HC04_VC23,HC02_VC25,HC03_VC25,HC04_VC25,HC02_VC26,HC03_VC26,HC04_VC26,HC02_VC27,HC03_VC27,HC04_VC27,HC02_VC28,HC03_VC28,HC04_VC28,HC02_VC29,HC03_VC29,HC04_VC29,HC02_VC30,HC03_VC30,HC04_VC30,HC02_VC31,HC03_VC31,HC04_VC31,HC02_VC32,HC03_VC32,HC04_VC32,HC02_VC33,HC03_VC33,HC04_VC33,HC02_VC34,HC03_VC34,HC04_VC34,HC02_VC35,HC03_VC35,HC04_VC35
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",3282,622,19.0,231,55,23.8,231,55,23.8,100,32,32.0,106,17,16.0,99,13,13.1,57,0,0.0,27,7,25.9,152,42,27.6,53,32,60.4,89,10,11.2,272,38,14.0,2588,386,14.9,694,236,34.0,2220,479,21.6,770,201,26.1,5003,(X),(X),1450,278,19.2,5288,(X),(X),193,38,19.7,193,38,19.7,38,13,34.2,155,25,16.1,374,(X),(X),663,(X),(X),671,(X),(X),55,(X),(X),42,(X),(X),755,(X),(X),804,(X),(X),854,(X),(X),63,(X),(X),42,(X),(X),887,(X),(X)
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",5975,442,7.4,767,30,3.9,767,30,3.9,652,0,0.0,115,30,26.1,280,0,0.0,249,0,0.0,31,0,0.0,541,30,5.5,457,0,0.0,84,30,35.7,1156,6,0.5,4614,266,5.8,1361,176,12.9,2395,286,11.9,840,119,14.2,6300,(X),(X),1555,167,10.7,5525,(X),(X),494,6,1.2,428,6,1.4,75,0,0.0,353,6,1.7,318,(X),(X),470,(X),(X),470,(X),(X),30,(X),(X),30,(X),(X),586,(X),(X),666,(X),(X),717,(X),(X),84,(X),(X),73,(X),(X),733,(X),(X)
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",2806,377,13.4,350,20,5.7,350,20,5.7,285,20,7.0,61,0,0.0,184,17,9.2,170,17,10.0,14,0,0.0,199,3,1.5,140,3,2.1,55,0,0.0,242,8,3.3,2267,260,11.5,539,117,21.7,1299,321,24.7,621,125,20.1,7752,(X),(X),678,196,28.9,6010,(X),(X),88,8,9.1,88,8,9.1,29,0,0.0,59,8,13.6,253,(X),(X),420,(X),(X),420,(X),(X),22,(X),(X),3,(X),(X),434,(X),(X),463,(X),(X),494,(X),(X),24,(X),(X),5,(X),(X),506,(X),(X)
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",3924,174,4.4,836,0,0.0,836,0,0.0,771,0,0.0,27,0,0.0,265,0,0.0,259,0,0.0,0,0,(X),597,0,0.0,532,0,0.0,27,0,0.0,552,8,1.4,3402,147,4.3,522,27,5.2,752,147,19.5,281,81,28.8,5240,(X),(X),471,66,14.0,7862,(X),(X),169,8,4.7,139,8,5.8,40,0,0.0,99,8,8.1,125,(X),(X),192,(X),(X),192,(X),(X),0,(X),(X),0,(X),(X),213,(X),(X),255,(X),(X),265,(X),(X),11,(X),(X),11,(X),(X),333,(X),(X)
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",1967,62,3.2,433,9,2.1,433,9,2.1,401,0,0.0,28,9,32.1,145,0,0.0,137,0,0.0,8,0,0.0,302,9,3.0,278,0,0.0,20,9,45.0,260,0,0.0,1803,52,2.9,164,10,6.1,391,47,12.0,174,37,21.3,2162,(X),(X),217,10,4.6,6270,(X),(X),78,0,0.0,60,0,0.0,34,0,0.0,26,0,0.0,30,(X),(X),76,(X),(X),76,(X),(X),9,(X),(X),9,(X),(X),125,(X),(X),138,(X),(X),150,(X),(X),9,(X),(X),9,(X),(X),157,(X),(X)
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",6062,278,4.6,1184,17,1.4,1184,17,1.4,1080,0,0.0,65,17,26.2,513,0,0.0,493,0,0.0,5,0,0.0,713,17,2.4,624,0,0.0,65,17,26.2,977,33,3.4,5401,249,4.6,661,29,4.4,1792,241,13.4,754,105,13.9,4234,(X),(X),1038,136,13.1,4430,(X),(X),464,33,7.1,370,21,5.7,65,0,0.0,305,21,6.9,122,(X),(X),342,(X),(X),348,(X),(X),17,(X),(X),17,(X),(X),410,(X),(X),461,(X),(X),495,(X),(X),17,(X),(X),17,(X),(X),533,(X),(X)
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3455,626,18.1,189,16,8.5,189,16,8.5,108,0,0.0,74,16,21.6,88,16,18.2,62,0,0.0,26,16,61.5,108,0,0.0,53,0,0.0,48,0,0.0,298,0,0.0,2605,360,13.8,850,266,31.3,2202,530,24.1,937,203,21.7,6396,(X),(X),1265,327,25.8,6187,(X),(X),205,0,0.0,168,0,0.0,34,0,0.0,134,0,0.0,507,(X),(X),777,(X),(X),821,(X),(X),26,(X),(X),0,(X),(X),885,(X),(X),942,(X),(X),963,(X),(X),26,(X),(X),0,(X),(X),986,(X),(X)
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",4222,86,2.0,785,0,0.0,785,0,0.0,721,0,0.0,42,0,0.0,244,0,0.0,212,0,0.0,10,0,0.0,579,0,0.0,537,0,0.0,42,0,0.0,502,50,10.0,3797,59,1.6,425,27,6.4,1215,71,5.8,480,44,9.2,4866,(X),(X),735,27,3.7,4785,(X),(X),185,35,18.9,159,28,17.6,34,13,38.2,125,15,12.0,63,(X),(X),129,(X),(X),129,(X),(X),0,(X),(X),0,(X),(X),156,(X),(X),182,(X),(X),197,(X),(X),0,(X),(X),0,(X),(X),201,(X),(X)
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",4856,349,7.2,657,24,3.7,657,24,3.7,506,21,4.2,130,3,2.3,225,3,1.3,199,0,0.0,26,3,11.5,460,21,4.6,335,21,6.3,104,0,0.0,544,49,9.0,4131,283,6.9,725,66,9.1,2285,250,10.9,937,97,10.4,4604,(X),(X),1348,153,11.4,5771,(X),(X),295,16,5.4,263,0,0.0,68,0,0.0,195,0,0.0,156,(X),(X),466,(X),(X),472,(X),(X),57,(X),(X),41,(X),(X),522,(X),(X),610,(X),(X),634,(X),(X),70,(X),(X),48,(X),(X),650,(X),(X)
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",3681,300,8.1,429,19,4.4,429,19,4.4,399,19,4.8,7,0,0.0,147,0,0.0,130,0,0.0,7,0,0.0,318,19,6.0,305,19,6.2,0,0,(X),449,8,1.8,3182,194,6.1,499,106,21.2,1572,191,12.2,687,75,10.9,5239,(X),(X),885,116,13.1,6408,(X),(X),186,8,4.3,135,0,0.0,45,0,0.0,90,0,0.0,228,(X),(X),350,(X),(X),356,(X),(X),24,(X),(X),24,(X),(X),441,(X),(X),511,(X),(X),532,(X),(X),45,(X),(X),45,(X),(X),570,(X),(X)
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",6339,270,4.3,354,13,3.7,354,13,3.7,330,0,0.0,24,13,54.2,119,0,0.0,108,0,0.0,11,0,0.0,235,13,5.5,222,0,0.0,13,13,100.0,1001,51,5.1,5463,208,3.8,876,62,7.1,4131,215,5.2,1555,57,3.7,5200,(X),(X),2576,158,6.1,4722,(X),(X),718,18,2.5,718,18,2.5,141,9,6.4,577,9,1.6,124,(X),(X),332,(X),(X),339,(X),(X),13,(X),(X),13,(X),(X),426,(X),(X),511,(X),(X),542,(X),(X),13,(X),(X),13,(X),(X),644,(X),(X)
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",3150,107,3.4,640,9,1.4,640,9,1.4,593,0,0.0,41,9,22.0,228,0,0.0,210,0,0.0,12,0,0.0,444,9,2.0,415,0,0.0,29,9,31.0,372,9,2.4,2801,69,2.5,349,38,10.9,908,91,10.0,302,10,3.3,7990,(X),(X),606,81,13.4,5612,(X),(X),174,9,5.2,174,9,5.2,19,0,0.0,155,9,5.8,86,(X),(X),136,(X),(X),136,(X),(X),9,(X),(X),9,(X),(X),150,(X),(X),165,(X),(X),183,(X),(X),9,(X),(X),9,(X),(X),206,(X),(X)
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",2707,352,13.0,403,16,4.0,403,16,4.0,350,0,0.0,53,16,30.2,141,16,11.3,125,0,0.0,16,16,100.0,272,0,0.0,235,0,0.0,37,0,0.0,489,161,32.9,2374,274,11.5,333,78,23.4,991,322,32.5,410,146,35.6,4283,(X),(X),581,176,30.3,5481,(X),(X),352,161,45.7,201,100,49.8,62,33,53.2,139,67,48.2,212,(X),(X),356,(X),(X),379,(X),(X),16,(X),(X),0,(X),(X),416,(X),(X),456,(X),(X),498,(X),(X),16,(X),(X),0,(X),(X),515,(X),(X)
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",5561,88,1.6,1300,0,0.0,1300,0,0.0,1075,0,0.0,159,0,0.0,431,0,0.0,398,0,0.0,33,0,0.0,916,0,0.0,724,0,0.0,126,0,0.0,965,37,3.8,5223,83,1.6,338,5,1.5,944,88,9.3,402,60,14.9,7140,(X),(X),542,28,5.2,4807,(X),(X),372,37,9.9,332,22,6.6,87,10,11.5,245,12,4.9,72,(X),(X),113,(X),(X),113,(X),(X),0,(X),(X),0,(X),(X),222,(X),(X),258,(X),(X),355,(X),(X),62,(X),(X),41,(X),(X),373,(X),(X)
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",3986,197,4.9,685,47,6.9,676,38,5.6,402,12,3.0,216,26,12.0,144,8,5.6,107,0,0.0,37,8,21.6,553,30,5.4,316,12,3.8,179,18,10.1,899,50,5.6,3759,190,5.1,227,7,3.1,733,139,19.0,377,81,21.5,5612,(X),(X),356,58,16.3,5416,(X),(X),174,38,21.8,146,31,21.2,41,17,41.5,105,14,13.3,103,(X),(X),206,(X),(X),206,(X),(X),47,(X),(X),39,(X),(X),213,(X),(X),239,(X),(X),239,(X),(X),52,(X),(X),39,(X),(X),249,(X),(X)
1400000US11001001701,11001001701,"Census Tract 17.01, District of Columbia, District of Columbia",3023,416,13.8,509,82,16.1,509,82,16.1,259,5,1.9,229,77,33.6,161,63,39.1,82,5,6.1,79,58,73.4,379,19,5.0,202,0,0.0,156,19,12.2,459,75,16.3,2670,379,14.2,353,37,10.5,996,225,22.6,432,131,30.3,6311,(X),(X),564,94,16.7,4563,(X),(X),156,23,14.7,132,7,5.3,8,0,0.0,124,7,5.6,206,(X),(X),447,(X),(X),455,(X),(X),86,(X),(X),23,(X),(X),585,(X),(X),728,(X),(X),748,(X),(X),133,(X),(X),70,(X),(X),787,(X),(X)
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",2163,94,4.3,409,9,2.2,400,0,0.0,204,0,0.0,147,0,0.0,199,0,0.0,102,0,0.0,83,0,0.0,255,0,0.0,130,0,0.0,90,0,0.0,363,16,4.4,2119,84,4.0,44,10,22.7,580,94,16.2,269,34,12.6,4300,(X),(X),311,60,19.3,5510,(X),(X),130,16,12.3,107,16,15.0,34,0,0.0,73,16,21.9,48,(X),(X),234,(X),(X),246,(X),(X),37,(X),(X),37,(X),(X),389,(X),(X),436,(X),(X),443,(X),(X),88,(X),(X),81,(X),(X),451,(X),(X)
1400000US11001001801,11001001801,"Census Tract 18.01, District of Columbia, District of Columbia",582,38,6.5,0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),565,38,6.7,17,0,0.0,570,38,6.7,425,0,0.0,(X),(X),(X),145,38,26.2,4408,(X),(X),0,0,(X),0,0,(X),0,0,(X),0,0,(X),15,(X),(X),96,(X),(X),96,(X),(X),0,(X),(X),0,(X),(X),155,(X),(X),239,(X),(X),239,(X),(X),0,(X),(X),0,(X),(X),267,(X),(X)
